Title,Price (INR),Rating,Availability
Apple iPhone 14 (256 GB) - Midnight,64900,4.5,Available
Apple iPhone 14 (256 GB) - Midnight,64900,4.5,Available
Apple iPhone 15 (128 GB) - Blue,61400,4.5,Available
Apple iPhone 15 (128 GB) - Black,61400,4.5,Available
Apple iPhone 15 (128 GB) - Pink,61400,4.5,Available
Apple iPhone 13 (128GB) - Midnight,43900,4.5,Available
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black",53600,4.4,Available
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; White",53600,4.4,Available
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",72400,4.5,Available
Apple iPhone 15 (128 GB) - Green,61400,4.5,Available
"iPhone 16 Pro 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Desert Titanium",121900,4.4,Available
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display",27999,4.2,Available
Amazon Brand - Solimo Tempered Glass Camera Lens Protector for iPhone 14 (6.1 Inch) & iPhone 14 Plus (6.7 Inch) | Glass Lens Cover (Black),99,3.9,Available
Apple iPhone 15 (256 GB) - Blue,70800,4.5,Available
EGOTUDE Shockproof Transparent Hard Back Scratch Resistant Cover Shockproof Case for iPhone 14 / iPhone 13 (Clear) (Polycarbonate),255,4.2,Available
"amazon basics Luxury Paper Thin Case Cover for iPhone 13 / iPhone 14 | Matte Finish | Compatible with magsafe | (Blue, iPhone 13 / iPhone 14)",239,4.0,Available
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; White Titanium",110900,4.4,Available
"Xiaomi 15 (Black, 12GB/512GB)| 50 MP Leica Triple Camera | SD 8 Elite | 1.5K CrystalRes Dynamic 1-120 Hz AMOLED | Hyper AI",64998,4.4,Available
